event_date,scheduled_start,scheduled_end,platform,table_code,queue_number,company_name,appointment_status,arrival_status
2026-08-17,10:00,10:15,THPM,THPM,A001,"Golden Wellness Industries Co., Ltd.",arrived,arrived
2026-08-17,10:15,10:30,THPM,THPM,A002,"Ayutthaya Home Enterprise Co., Ltd.",arrived,arrived
2026-08-17,10:30,10:45,THPM,THPM,A003,"Nakhon Snacks Enterprise Co., Ltd.",arrived,arrived
2026-08-17,10:45,11:00,THPM,THPM,A004,"Royal Silk Export Co., Ltd.",scheduled,not_arrived
2026-08-17,11:00,11:15,THPM,THPM,A005,"Thai Snacks Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,11:15,11:30,THPM,THPM,A006,"Bangsaen Jewelry Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,11:30,11:45,THPM,THPM,A007,"Isan Herbal Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,11:45,12:00,THPM,THPM,A008,"Chao Phraya Organics Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,13:00,13:15,THPM,THPM,A009,"Krungthep Beauty Co., Ltd.",scheduled,not_arrived
2026-08-17,13:15,13:30,THPM,THPM,A010,"Sukhothai Home Co., Ltd.",scheduled,not_arrived
2026-08-17,13:30,13:45,THPM,THPM,A011,"Golden Wellness Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:45,14:00,THPM,THPM,A012,"Ayutthaya Wellness Co., Ltd.",scheduled,not_arrived
2026-08-17,14:00,14:15,THPM,THPM,A013,"Nakhon Rice Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,14:15,14:30,THPM,THPM,A014,"Royal Coffee Export Co., Ltd.",scheduled,not_arrived
2026-08-17,14:30,14:45,THPM,THPM,A015,"Thai Furniture Co., Ltd.",scheduled,not_arrived
2026-08-17,14:45,15:00,THPM,THPM,A016,"Bangsaen Furniture Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:00,15:15,THPM,THPM,A017,"Isan Organics Co., Ltd.",scheduled,not_arrived
2026-08-17,15:15,15:30,THPM,THPM,A018,"Chao Phraya Snacks Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:45,16:00,THPM,THPM,A019,"Krungthep Home Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,16:00,16:15,THPM,THPM,A020,"Sukhothai Spice Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,16:15,16:30,THPM,THPM,A021,"Golden Foods Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,16:30,16:45,THPM,THPM,A022,"Ayutthaya Home Export Co., Ltd.",scheduled,not_arrived
2026-08-17,16:45,17:00,THPM,THPM,A023,"Nakhon Jewelry Group Co., Ltd.",scheduled,not_arrived
2026-08-17,10:00,10:15,JD.com,JD.com_1,B001,"Royal Wellness Enterprise Co., Ltd.",arrived,arrived
2026-08-17,10:15,10:30,JD.com,JD.com_1,B002,"Thai Rubber Enterprise Co., Ltd.",arrived,arrived
2026-08-17,10:30,10:45,JD.com,JD.com_1,B003,"Bangsaen Foods Export Co., Ltd.",arrived,arrived
2026-08-17,10:45,11:00,JD.com,JD.com_1,B004,"Isan Organics Group Co., Ltd.",scheduled,not_arrived
2026-08-17,11:00,11:15,JD.com,JD.com_1,B005,"Chao Phraya Ceramics Co., Ltd.",scheduled,not_arrived
2026-08-17,11:15,11:30,JD.com,JD.com_1,B006,"Krungthep Silk Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,11:30,11:45,JD.com,JD.com_1,B007,"Sukhothai Spice Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,11:45,12:00,JD.com,JD.com_1,B008,"Golden Fruits Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,13:00,13:15,JD.com,JD.com_1,B009,"Ayutthaya Wellness Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:15,13:30,JD.com,JD.com_1,B010,"Nakhon Jewelry Group Co., Ltd.",scheduled,not_arrived
2026-08-17,13:30,13:45,JD.com,JD.com_1,B011,"Royal Rice Co., Ltd.",scheduled,not_arrived
2026-08-17,13:45,14:00,JD.com,JD.com_1,B012,"Thai Furniture Group Co., Ltd.",scheduled,not_arrived
2026-08-17,14:00,14:15,JD.com,JD.com_1,B013,"Bangsaen Snacks Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,14:15,14:30,JD.com,JD.com_1,B014,"Isan Herbal Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,14:30,14:45,JD.com,JD.com_1,B015,"Chao Phraya Snacks Group Co., Ltd.",scheduled,not_arrived
2026-08-17,14:45,15:00,JD.com,JD.com_1,B016,"Krungthep Fruits Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:00,15:15,JD.com,JD.com_1,B017,"Sukhothai Home Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:15,15:30,JD.com,JD.com_1,B018,"Golden Wellness Export Co., Ltd.",scheduled,not_arrived
2026-08-17,15:45,16:00,JD.com,JD.com_1,B019,"Ayutthaya Craft Export Co., Ltd.",scheduled,not_arrived
2026-08-17,16:00,16:15,JD.com,JD.com_1,B020,"Nakhon Rice Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,16:15,16:30,JD.com,JD.com_1,B021,"Royal Jewelry Group Co., Ltd.",scheduled,not_arrived
2026-08-17,16:30,16:45,JD.com,JD.com_1,B022,"Thai Snacks Group Co., Ltd.",scheduled,not_arrived
2026-08-17,16:45,17:00,JD.com,JD.com_1,B023,"Bangsaen Furniture Export Co., Ltd.",scheduled,not_arrived
2026-08-17,10:00,10:15,JD.com,JD.com_2,C001,"Isan Herbal Co., Ltd.",arrived,arrived
2026-08-17,10:15,10:30,JD.com,JD.com_2,C002,"Chao Phraya Organics Export Co., Ltd.",arrived,arrived
2026-08-17,10:30,10:45,JD.com,JD.com_2,C003,"Krungthep Textiles Export Co., Ltd.",arrived,arrived
2026-08-17,10:45,11:00,JD.com,JD.com_2,C004,"Sukhothai Textiles Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,11:00,11:15,JD.com,JD.com_2,C005,"Golden Coffee Export Co., Ltd.",scheduled,not_arrived
2026-08-17,11:15,11:30,JD.com,JD.com_2,C006,"Ayutthaya Home Export Co., Ltd.",scheduled,not_arrived
2026-08-17,11:30,11:45,JD.com,JD.com_2,C007,"Nakhon Snacks Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,11:45,12:00,JD.com,JD.com_2,C008,"Royal Silk Group Co., Ltd.",scheduled,not_arrived
2026-08-17,13:00,13:15,JD.com,JD.com_2,C009,"Thai Organics Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:15,13:30,JD.com,JD.com_2,C010,"Bangsaen Snacks Co., Ltd.",scheduled,not_arrived
2026-08-17,13:30,13:45,JD.com,JD.com_2,C011,"Isan Spice Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:45,14:00,JD.com,JD.com_2,C012,"Chao Phraya Ceramics Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,14:00,14:15,JD.com,JD.com_2,C013,"Krungthep Textiles Co., Ltd.",scheduled,not_arrived
2026-08-17,14:15,14:30,JD.com,JD.com_2,C014,"Sukhothai Textiles Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,14:30,14:45,JD.com,JD.com_2,C015,"Golden Wellness Co., Ltd.",scheduled,not_arrived
2026-08-17,14:45,15:00,JD.com,JD.com_2,C016,"Ayutthaya Fruits Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:00,15:15,JD.com,JD.com_2,C017,"Nakhon Rubber Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,15:15,15:30,JD.com,JD.com_2,C018,"Royal Jewelry Group Co., Ltd.",scheduled,not_arrived
2026-08-17,15:45,16:00,JD.com,JD.com_2,C019,"Thai Spice Co., Ltd.",scheduled,not_arrived
2026-08-17,16:00,16:15,JD.com,JD.com_2,C020,"Bangsaen Rubber Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,16:15,16:30,JD.com,JD.com_2,C021,"Isan Beauty Group Co., Ltd.",scheduled,not_arrived
2026-08-17,16:30,16:45,JD.com,JD.com_2,C022,"Chao Phraya Ceramics Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,16:45,17:00,JD.com,JD.com_2,C023,"Krungthep Fruits Co., Ltd.",scheduled,not_arrived
2026-08-17,10:00,10:15,TMALL,TMALL,D001,"Sukhothai Beauty Export Co., Ltd.",arrived,arrived
2026-08-17,10:15,10:30,TMALL,TMALL,D002,"Golden Fruits Industries Co., Ltd.",arrived,arrived
2026-08-17,10:30,10:45,TMALL,TMALL,D003,"Ayutthaya Craft Trading Co., Ltd.",arrived,arrived
2026-08-17,10:45,11:00,TMALL,TMALL,D004,"Nakhon Rice Co., Ltd.",scheduled,not_arrived
2026-08-17,11:00,11:15,TMALL,TMALL,D005,"Royal Rice Co., Ltd.",scheduled,not_arrived
2026-08-17,11:15,11:30,TMALL,TMALL,D006,"Thai Herbal Co., Ltd.",scheduled,not_arrived
2026-08-17,11:30,11:45,TMALL,TMALL,D007,"Bangsaen Rice Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,11:45,12:00,TMALL,TMALL,D008,"Isan Leather Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:00,13:15,TMALL,TMALL,D009,"Chao Phraya Ceramics Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,13:15,13:30,TMALL,TMALL,D010,"Krungthep Silk Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,13:30,13:45,TMALL,TMALL,D011,"Sukhothai Leather Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,13:45,14:00,TMALL,TMALL,D012,"Golden Foods Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,14:00,14:15,TMALL,TMALL,D013,"Ayutthaya Leather Group Co., Ltd.",scheduled,not_arrived
2026-08-17,14:15,14:30,TMALL,TMALL,D014,"Nakhon Furniture Export Co., Ltd.",scheduled,not_arrived
2026-08-17,14:30,14:45,TMALL,TMALL,D015,"Royal Wellness Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,14:45,15:00,TMALL,TMALL,D016,"Thai Seafood Co., Ltd.",scheduled,not_arrived
2026-08-17,15:00,15:15,TMALL,TMALL,D017,"Bangsaen Snacks Group Co., Ltd.",scheduled,not_arrived
2026-08-17,15:15,15:30,TMALL,TMALL,D018,"Isan Organics Group Co., Ltd.",scheduled,not_arrived
2026-08-17,15:45,16:00,TMALL,TMALL,D019,"Chao Phraya Furniture Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,16:00,16:15,TMALL,TMALL,D020,"Krungthep Beauty Group Co., Ltd.",scheduled,not_arrived
2026-08-17,16:15,16:30,TMALL,TMALL,D021,"Sukhothai Ceramics Export Co., Ltd.",scheduled,not_arrived
2026-08-17,16:30,16:45,TMALL,TMALL,D022,"Golden Wellness Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,16:45,17:00,TMALL,TMALL,D023,"Ayutthaya Leather Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,10:00,10:15,AMAZON,AMAZON_1,E001,"Nakhon Foods Enterprise Co., Ltd.",arrived,arrived
2026-08-17,10:15,10:30,AMAZON,AMAZON_1,E002,"Royal Coffee Industries Co., Ltd.",arrived,arrived
2026-08-17,10:30,10:45,AMAZON,AMAZON_1,E003,"Thai Seafood Co., Ltd.",arrived,arrived
2026-08-17,10:45,11:00,AMAZON,AMAZON_1,E004,"Bangsaen Foods Industries Co., Ltd.",scheduled,not_arrived
2026-08-17,11:00,11:15,AMAZON,AMAZON_1,E005,"Isan Ceramics Co., Ltd.",scheduled,not_arrived
2026-08-17,11:15,11:30,AMAZON,AMAZON_1,E006,"Chao Phraya Spice Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,11:30,11:45,AMAZON,AMAZON_1,E007,"Krungthep Beauty Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,11:45,12:00,AMAZON,AMAZON_1,E008,"Sukhothai Textiles Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,13:00,13:15,AMAZON,AMAZON_1,E009,"Golden Jewelry Trading Co., Ltd.",scheduled,not_arrived
2026-08-17,13:15,13:30,AMAZON,AMAZON_1,E010,"Ayutthaya Wellness Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,13:30,13:45,AMAZON,AMAZON_1,E011,"Nakhon Coffee Export Co., Ltd.",scheduled,not_arrived
2026-08-17,13:45,14:00,AMAZON,AMAZON_1,E012,"Royal Silk Enterprise Co., Ltd.",scheduled,not_arrived
2026-08-17,14:00,14:15,AMAZON,AMAZON_1,E013,"Thai Furniture Co., Ltd.",scheduled,not_arrived
2026-08-17,14:15,14:30,AMAZON,AMAZON_1,E014,"Bangsaen Foods Group Co., Ltd.",scheduled,not_arrived
2026-08-17,14:30,14:45,AMAZON,AMAZON_1,E015,"Isan Leather Export Co., Ltd.",scheduled,not_arrived
2026-08-17,14:45,15:00,AMAZON,AMAZON_1,E016,"Chao Phraya Herbal Group Co., Ltd.",scheduled,not_arrived
